match_id,point_number,set_no,p1_sets_won,p2_sets_won,p1_games,p2_games,p1_score,p2_score,point_winner,p1_win_prob,p2_win_prob,is_critical_point,p1_win_prob_cf,p2_win_prob_cf,cf_p1_games,cf_p2_games,cf_p1_score,cf_p2_score
2019-wimbledon-2701,47,1,0,0,2,5,30,40,2,0.1396759778166589,0.860324022183341,0,,,,,,
2019-wimbledon-2701,48,1,0,1,2,6,0,0,2,0.2481871663559861,0.7518128336440139,0,,,,,,
2019-wimbledon-2701,49,2,0,1,0,0,0,15,1,0.2080871813487985,0.7919128186512014,0,,,,,,
2019-wimbledon-2701,50,2,0,1,0,0,15,15,1,0.2429533740773387,0.7570466259226613,0,,,,,,
2019-wimbledon-2701,51,2,0,1,0,0,30,15,2,0.261883060576995,0.7381169394230049,0,,,,,,
2019-wimbledon-2701,52,2,0,1,0,0,30,30,1,0.239593662443699,0.7604063375563009,0,,,,,,
2019-wimbledon-2701,53,2,0,1,0,0,40,30,1,0.2593943794626061,0.7406056205373939,0,,,,,,
2019-wimbledon-2701,54,2,0,1,1,0,0,0,2,0.3122817584751951,0.6877182415248049,0,,,,,,
2019-wimbledon-2701,55,2,0,1,1,0,0,15,1,0.291242255828733,0.7087577441712669,0,,,,,,
2019-wimbledon-2701,56,2,0,1,1,0,15,15,1,0.3099457103469865,0.6900542896530135,0,,,,,,
2019-wimbledon-2701,57,2,0,1,1,0,30,15,2,0.3396409629735136,0.6603590370264864,0,,,,,,
2019-wimbledon-2701,58,2,0,1,1,0,30,30,2,0.3105553674815657,0.6894446325184342,0,,,,,,
2019-wimbledon-2701,59,2,0,1,1,0,30,40,2,0.2923672741166556,0.7076327258833444,0,,,,,,
2019-wimbledon-2701,60,2,0,1,1,1,0,0,1,0.2485613979615759,0.751438602038424,0,,,,,,
2019-wimbledon-2701,61,2,0,1,1,1,15,0,1,0.2689329734579906,0.7310670265420094,0,,,,,,
2019-wimbledon-2701,62,2,0,1,1,1,30,0,1,0.2860259278525432,0.7139740721474568,0,,,,,,
2019-wimbledon-2701,63,2,0,1,1,1,40,0,1,0.2950077123537712,0.7049922876462287,0,,,,,,
2019-wimbledon-2701,64,2,0,1,2,1,0,0,2,0.3399006249443316,0.6600993750556683,0,,,,,,
2019-wimbledon-2701,65,2,0,1,2,1,0,15,2,0.3083572120868677,0.6916427879131323,0,,,,,,
2019-wimbledon-2701,66,2,0,1,2,1,0,30,2,0.2713307880953612,0.7286692119046387,0,,,,,,
2019-wimbledon-2701,67,2,0,1,2,1,0,40,2,0.2536207470438806,0.7463792529561193,0,,,,,,
2019-wimbledon-2701,68,2,0,1,2,2,0,0,2,0.2652463312950701,0.7347536687049299,0,,,,,,
2019-wimbledon-2701,69,2,0,1,2,2,0,15,2,0.2237391190381311,0.7762608809618688,0,,,,,,
2019-wimbledon-2701,70,2,0,1,2,2,0,30,1,0.1807567703145398,0.8192432296854602,0,,,,,,
2019-wimbledon-2701,71,2,0,1,2,2,15,30,2,0.2199776053739512,0.7800223946260488,0,,,,,,
2019-wimbledon-2701,72,2,0,1,2,2,15,40,2,0.1804106776438178,0.8195893223561821,0,,,,,,
2019-wimbledon-2701,73,2,0,1,2,3,0,0,1,0.1431890713117637,0.8568109286882362,0,,,,,,
2019-wimbledon-2701,74,2,0,1,2,3,15,0,2,0.1845834468632949,0.815416553136705,0,,,,,,
2019-wimbledon-2701,75,2,0,1,2,3,15,15,1,0.1586653694797908,0.8413346305202092,0,,,,,,
2019-wimbledon-2701,76,2,0,1,2,3,30,15,2,0.184379145832304,0.8156208541676959,0,,,,,,
